ID;ArticleID;LabelID;LabelClassID;Text;Start;End;TokenStart;TokenEnd
0;0;1;5;asymptomatic left ventricular dysfunction;67;108;12;15
1;0;21;7;percent;1436;1443;284;284
2;0;23;7;21 to 36;1427;1435;281;283
3;0;19;7;95 percent confidence interval;1395;1425;276;279
4;0;21;7;percent;1386;1393;274;274
5;0;22;7;29;1383;1385;273;273
6;0;19;7;risk reduction;1367;1381;270;271
7;0;22;7;630;1354;1357;265;265
8;0;2;1;placebo;1339;1346;262;262
9;0;6;1;enalapril;1311;1320;257;257
10;0;19;7;lower;1298;1303;254;254
11;0;17;4;deaths and cases of heart failure;1260;1293;247;252
12;0;19;4;those who died;1224;1238;239;241
13;0;19;4;patients in whom heart failure developed;1179;1219;232;237
14;0;20;7;= 0.12;1153;1159;225;226
15;0;21;7;percent;1142;1149;222;222
16;0;23;7;-3 to 26;1133;1141;218;221
17;0;19;7;95 percent confidence interval;1101;1131;213;216
18;0;21;7;percent;1092;1099;211;211
19;0;22;7;12;1089;1091;210;210
20;0;20;7;less than 0.001;1447;1462;287;289
21;0;19;7;fewer;1478;1483;295;295
22;0;21;7;patients;1484;1492;296;296
23;0;6;1;enalapril;1499;1508;298;298
24;0;6;1;enalapril;2094;2103;404;404
25;0;1;5;deaths due to cardiovascular causes;2026;2061;394;398
26;0;1;5;asymptomatic left ventricular dysfunction;1947;1988;382;385
27;0;2;1;placebo;1918;1925;377;377
28;0;1;5;heart failure;1816;1829;359;360
29;0;6;1;enalapril;1767;1776;353;353
30;0;2;1;angiotensin-converting--enzyme inhibitor;1726;1766;346;352
31;0;20;7;less than 0.001;1691;1706;338;340
32;0;21;7;percent;1680;1687;335;335
33;0;19;7;risk reduction;1073;1087;207;208
34;0;23;7;9 to 30;1672;1679;332;334
35;0;21;7;percent;1631;1638;325;325
36;0;22;7;20;1628;1630;324;324
37;0;19;7;risk reduction;1612;1626;321;322
38;0;2;1;placebo;1597;1604;318;318
39;0;22;7;518;1586;1589;315;315
40;0;6;1;enalapril;1565;1574;310;310
41;0;22;7;434;1554;1557;307;307
42;0;19;4;for heart failure;1535;1552;303;305
43;0;17;4;died or were hospitalized;1509;1534;299;302
44;0;19;7;95 percent confidence interval;1640;1670;327;330
45;0;6;1;enalapril;1056;1065;204;204
46;0;22;7;818;1362;1365;268;268
47;0;2;1;placebo;1027;1034;197;197
48;0;12;2;double-blind;608;620;109;111
49;0;24;3;per day;595;602;105;106
50;0;21;7;mg;592;594;104;104
51;0;24;3;2.5 to 20;582;591;101;103
52;0;7;1;n = 2111;560;568;94;96
53;0;6;1;enalapril;549;558;92;92
54;0;7;1;n = 2117;536;544;87;89
55;0;2;1;placebo;527;534;85;85
56;0;12;2;randomly;491;499;80;80
57;0;12;2;trial;621;626;112;112
58;0;10;2;Patients;477;485;78;78
59;0;10;2;ejection fractions of 0.35 or less;376;410;60;65
60;0;22;7;265;1045;1048;201;201
61;0;11;2;heart failure;342;355;55;56
62;0;11;2;hospitalization;322;337;53;53
63;0;11;2;heart failure;303;316;49;50
64;0;11;2;mortality from cardiovascular causes;246;282;41;44
65;0;11;2;mortality;232;241;39;39
66;0;6;1;enalapril;212;221;35;35
67;0;2;1;angiotensin-converting--enzyme inhibitor;170;210;27;33
68;0;10;2;not receiving drug treatment for heart failure;420;466;68;74
69;0;13;2;Follow - up averaged 37.4 months;628;658;114;119
70;0;10;2;patients;362;370;58;58
71;0;17;4;deaths;684;690;126;126
72;0;22;7;334;680;683;125;125
73;0;21;7;deaths;1013;1019;194;194
74;0;22;7;298;1009;1012;193;193
75;0;20;7;not statistically significant;978;1007;189;191
76;0;19;4;from cardiovascular causes;932;958;182;184
77;0;17;4;mortality;922;931;181;181
78;0;19;7;reduction;909;918;179;179
79;0;20;7;= 0.30;896;902;174;175
80;0;21;7;percent;885;892;171;171
81;0;23;7;21;882;884;170;170
82;0;19;7;larger;963;969;186;186
83;0;23;7;- 8;841;843;159;160
84;0;19;7;95 percent confidence interval;809;839;154;157
85;0;19;7;log - rank;794;802;149;151
86;0;21;7;percent;779;786;146;146
87;0;22;7;8;777;778;145;145
88;0;19;7;reduction in risk;758;775;141;143
89;0;6;1;enalapril;741;750;138;138
90;0;22;7;313;730;733;135;135
91;0;21;7;percent;844;851;161;161
92;0;2;1;placebo;698;705;129;129
93;1;17;4;ventricular arrhythmias;888;911;152;153
94;1;19;7;more frequent;874;887;150;151
95;1;19;4;normal subjects;854;869;147;148
96;1;19;4;CAD;836;839;144;144
97;1;21;7;pg / ml;815;820;138;140
98;1;22;7;652 to 3362;803;814;135;137
99;1;19;4;at 0.24 micrograms/kg/min;667;692;114;120
100;1;17;4;Epinephrine ischemic thresholds;759;790;130;132
101;1;6;1;epinephrine;693;704;121;121
102;1;20;7;less than 0.05;651;665;110;112
103;1;20;7;significantly;634;647;107;107
104;1;22;7;55;913;915;155;155
105;1;19;7;increased;624;633;106;106
106;1;19;7;ranged;791;797;133;133
107;1;21;7;%;915;916;156;156
108;1;22;7;13;987;989;183;183
109;1;21;7;%;923;924;160;160
110;1;17;4;chest pain;927;937;163;164
111;1;22;7;50;939;941;166;166
112;1;21;7;%;941;942;167;167
113;1;22;7;13;947;949;170;170
114;1;21;7;%;949;950;171;171
115;1;17;4;ischemic ECG changes;957;977;175;177
116;1;22;7;73;979;981;179;179
117;1;21;7;%;981;982;180;180
118;1;21;7;%;989;990;184;184
119;1;6;1;epinephrine;1030;1041;192;192
120;1;1;5;myocardial ischemia;1050;1069;194;195
121;1;1;5;CAD;1073;1076;197;197
122;1;17;4;Plasma norepinephrine;587;608;103;104
123;1;22;7;25;921;923;159;159
124;1;19;4;CAD;582;585;101;101
125;1;10;2;normal coronary anatomy;194;217;29;31
126;1;20;7;less than 0.025;527;542;90;92
127;1;19;4;normal subjects;547;562;95;96
128;1;11;2;cardiovascular performance;56;82;9;10
129;1;10;2;patients;86;94;12;12
130;1;10;2;coronary artery disease;100;123;14;16
131;1;10;2;CAD;125;128;18;18
132;1;25;3;infused intravenously;147;168;23;24
133;1;7;1;eight;174;179;26;26
134;1;10;2;patients;180;188;27;27
135;1;7;1;22;222;224;33;33
136;1;10;2;patients;225;233;34;34
137;1;10;2;CAD;239;242;36;36
138;1;24;3;0.06;260;264;41;41
139;1;24;3;0.12;266;270;43;43
140;1;24;3;0.18;272;276;45;45
141;1;6;1;epinephrine;131;142;21;21
142;1;21;7;micrograms/kg/min;287;304;49;53
143;1;19;7;more;519;523;87;87
144;1;24;3;0.24;282;286;48;48
145;1;20;7;significantly;505;518;86;86
146;1;19;7;decreased;495;504;85;85
147;1;20;7;less than 0.05;455;469;76;78
148;1;19;7;more;447;451;73;73
149;1;20;7;significantly;433;446;72;72
150;1;17;4;end - systolic volume;475;494;81;84
151;1;17;4;contractility;409;422;70;70
152;1;19;7;different;366;375;62;62
153;1;20;7;not significantly;348;365;60;61
154;1;6;1;epinephrine;331;342;58;58
155;1;17;4;Hemodynamic responses;306;327;55;56
156;1;19;7;increased;423;432;71;71
157;2;21;7;percent;1685;1692;281;281
158;2;22;7;1.2;1681;1684;280;280
159;2;21;7;percent;1523;1530;249;249
160;2;19;4;reached;1670;1677;278;278
161;2;17;4;primary noncardiac end point;1637;1665;273;276
162;2;23;7;0.02 to 0.62;1620;1632;267;269
163;2;19;7;95 percent confidence interval;1588;1618;262;265
164;2;22;7;0.14;1582;1586;260;260
165;2;21;7;relative risk;1567;1580;257;258
166;2;22;7;5.4;1519;1522;248;248
167;2;17;4;repeat interventions;1400;1420;228;229
168;2;21;7;percent;1470;1477;239;239
169;2;22;7;0.8;1466;1469;238;238
170;2;19;4;occurred;1454;1462;236;236
171;2;17;4;Occlusion of the stented vessel;1422;1453;231;235
172;2;19;7;need;1391;1395;226;226
173;2;19;7;lower;1385;1390;225;225
174;2;21;7;percent;1377;1384;224;224
175;2;7;1;antiplatelet - therapy;1700;1720;284;286
176;2;22;7;78;1374;1376;223;223
177;2;7;1;antiplatelet - therapy;1485;1505;242;244
178;2;22;7;12.3;1731;1735;289;289
179;2;19;7;risk;1972;1976;335;335
180;2;7;1;anticoagulant - therapy;1751;1772;293;295
181;2;7;1;anticoagulant - therapy;1339;1360;216;218
182;2;1;5;hemorrhagic and vascular complications;2238;2276;374;377
183;2;1;5;cardiac events;2219;2233;371;372
184;2;7;1;placement of coronary-artery stents;2153;2188;360;365
185;2;7;1;antiplatelet therapy;2122;2142;356;357
186;2;7;1;anticoagulant therapy;2090;2111;352;353
187;2;7;1;antiplatelet therapy;2025;2045;343;344
188;2;17;4;peripheral vascular events;1980;2006;337;339
189;2;19;7;reduction;1955;1964;332;332
190;2;21;7;percent;1736;1743;290;290
