ID;PubmedID;Title;Abstract;Indication;ArticleType;Dataset;EvalType
0;1463530;Effect of enalapril on mortality and the development of heart failure in asymptomatic patients with reduced left ventricular ejection fractions.;"Background. It is not known whether the treatment of patients with asymptomatic left ventricular dysfunction reduces mortality and morbidity. We studied the effect of an angiotensin-converting--enzyme inhibitor, enalapril, on total mortality and mortality from cardiovascular causes, the development of heart failure, and hospitalization for heart failure among patients with ejection fractions of 0.35 or less who were not receiving drug treatment for heart failure. Methods. Patients were randomly assigned to receive either placebo (n = 2117) or enalapril (n = 2111) at doses of 2.5 to 20 mg per day in a double-blind trial. Follow-up averaged 37.4 months. Results. There were 334 deaths in the placebo group, as compared with 313 in the enalapril group (reduction in risk, 8 percent by the log-rank test; 95 percent confidence interval, -8 percent [an increase of 8 percent] to 21 percent; P = 0.30). The reduction in mortality from cardiovascular causes was larger but was not statistically significant (298 deaths in the placebo group vs. 265 in the enalapril group; risk reduction, 12 percent; 95 percent confidence interval, -3 to 26 percent; P = 0.12). When we combined patients in whom heart failure developed and those who died, the total number of deaths and cases of heart failure was lower in the enalapril group than in the placebo group (630 vs. 818; risk reduction, 29 percent; 95 percent confidence interval, 21 to 36 percent; P less than 0.001). In addition, fewer patients given enalapril died or were hospitalized for heart failure (434 in the enalapril group; vs. 518 in the placebo group; risk reduction, 20 percent; 95 percent confidence interval, 9 to 30 percent; P less than 0.001). Conclusions. The angiotensin-converting--enzyme inhibitor enalapril significantly reduced the incidence of heart failure and the rate of related hospitalizations, as compared with the rates in the group given placebo, among patients with asymptomatic left ventricular dysfunction. There was also a trend toward fewer deaths due to cardiovascular causes among the patients who received enalapril.";Circulatory system diseases;Interventional;Indomain;Train
1;3345621;Effects of 1-epinephrine on hemodynamics and cardiac function in coronary disease: dose-response studies.;To assess the effects of elevated epinephrine levels on cardiovascular performance in patients with coronary artery disease (CAD), epinephrine was infused intravenously into eight patients with normal coronary anatomy and 22 patients with CAD at dose rates of 0.06, 0.12, 0.18, and 0.24 micrograms/kg/min. Hemodynamic responses to epinephrine were not significantly different between the two groups. However, contractility increased significantly more (P less than 0.05) and end-systolic volume decreased significantly more (P less than 0.025) in normal subjects than in those with CAD. Plasma norepinephrine concentrations increased significantly (P less than 0.05) at 0.24 micrograms/kg/min epinephrine, indicating activation of sympathetic nervous system. Epinephrine ischemic thresholds ranged from 652 to 3362 pg/ml. Patients with CAD compared with normal subjects had more frequent ventricular arrhythmias (55% vs. 25%), chest pain (50% vs. 13%), and ischemic ECG changes (73% vs. 13%). These results indicate that although epinephrine induced myocardial ischemia in CAD, hemodynamics and ventricular pump function were maintained.;Circulatory system diseases;Interventional;Indomain;Train
2;8598866;A randomized comparison of antiplatelet and anticoagulant therapy after the placement of coronary-artery stents.;"Background. The clinical benefit of coronary-artery stenting performed in conjunction with coronary angioplasty is limited by the risk of thrombotic occlusion of the stent as well as hemorrhagic and vascular complications of intensive anticoagulation. We compared antiplatelet therapy with conventional anticoagulant therapy with respect to clinical outcomes 30 days after coronary-artery stenting. Methods. After successful placement of Palmaz-Schatz coronary-artery stents, 257 patients were randomly assigned to receive antiplatelet therapy (ticlopidine plus aspirin) and 260 to receive anticoagulant therapy (intravenous heparin, phenprocoumon, and aspirin). The primary cardiac end point was a composite measure reflecting death from cardiac causes or the occurrence of myocardial infarction, aortocoronary bypass surgery, or repeat angioplasty. The primary noncardiac end point comprised death from noncardiac causes, cerebrovascular accident, severe hemorrhage, and peripheral vascular events. Results. Of the patients assigned to antiplatelet therapy, 1.6 percent reached a primary cardiac end point, as did 6.2 percent of those assigned to anticoagulant therapy (relative risk, 0.25; 95 percent confidence interval, 0.06 to 0.77). With antiplatelet therapy, there was an 82 percent lower risk of myocardial infarction than in the anticoagulant-therapy group, and a 78 percent lower need for repeat interventions. Occlusion of the stented vessel occurred in 0.8 percent of the antiplatelet-therapy group and in 5.4 percent of the anticoagulant-therapy group (relative risk, 0.14; 95 percent confidence interval, 0.02 to 0.62). A primary noncardiac end point was reached by 1.2 percent of the antiplatelet-therapy group and 12.3 percent of the anticoagulant-therapy group (relative risk, 0.09; 95 percent confidence interval, 0.02 to 0.31). Hemorrhagic complications occurred only in the anticoagulant-therapy group (in 6.5 percent). An 87 percent reduction in the risk of peripheral vascular events was observed with antiplatelet therapy. Conclusions. As compared with conventional anticoagulant therapy, combined antiplatelet therapy after the placement of coronary-artery stents reduces the incidence of both cardiac events and hemorrhagic and vascular complications.";Circulatory system diseases;Interventional;Indomain;Test
3;9892520;Results of the CAPRIE trial: efficacy and safety of clopidogrel. Clopidogrel versus aspirin in patients at risk of ischaemic events.;The recent CAPRIE trial (clopidogrel versus aspirin in patients at risk of ischaemic events) compared clopidogrel with aspirin in reducing the risk of vascular events in 19,185 patients with clinical manifestations of atherosclerosis. Participants were randomized to receive daily oral clopidogrel (75 mg) or aspirin (325 mg). Treatment periods ranged from 1 to 3 years. The primary outcome measurement was an aggregate of myocardial infarction, ischemic stroke and vascular death. Event rates of 5.32% and 5.83% were associated with clopidogrel and aspirin therapy, respectively. Clopidogrel therapy resulted in a relative risk reduction of 8.7% (CI 0.3-16.5%) compared with aspirin therapy (p = 0.043). Gastrointestinal hemorrhages occurred in 1.99% of patients treated with clopidogrel and 2.66% of patients treated with aspirin (p < 0.002). There were no significant treatment-based differences in the rates of intracerebral hemorrhages and hemorrhagic deaths or thrombocytopenia. These results indicate that clopidogrel is more effective and safer than aspirin in reducing adverse cardiovascular events in patients with atherosclerosis.;Circulatory system diseases;Interventional;Indomain;Train
4;10023943;The Cardiac Insufficiency Bisoprolol Study II (CIBIS-II): a randomised trial.;Background. In patients with heart failure, beta-blockade has improved morbidity and left-ventricular function, but the impact on survival is uncertain. We investigated the efficacy of bisoprolol, a beta1 selective adrenoceptor blocker in decreasing all-cause mortality in chronic heart failure. Methods. In a multicentre double-blind randomised placebo-controlled trial in Europe, we enrolled 2647 symptomatic patients in New York Heart Association class III or IV, with left-ventricular ejection fraction of 35% or less receiving standard therapy with diuretics and inhibitors of angiotensin-converting enzyme. We randomly assigned patients bisoprolol 1.25 mg (n=1327) or placebo (n=1320) daily, the drug being progressively increased to a maximum of 10 mg per day. Patients were followed up for a mean of 1.3 years. Analysis was by intention to treat. Findings. CIBIS-II was stopped early, after the second interim analysis, because bisoprolol showed a significant mortality benefit. All-cause mortality was significantly lower with bisoprolol than on placebo (156 [11.8%] vs 228 [17.3%] deaths with a hazard ratio of 0.66 (95% CI 0.54-0.81, p<0.0001). There were significantly fewer sudden deaths among patients on bisoprolol than in those on placebo (48 [3.6%] vs 83 [6.3%] deaths), with a hazard ratio of 0.56 (0.39-0.80, p=0.0011). Treatment effects were independent of the severity or cause of heart failure. Interpretation. Beta-blocker therapy had benefits for survival in stable heart-failure patients. Results should not, however, be extrapolated to patients with severe class IV symptoms and recent instability because safety and efficacy has not been established in these patients.;Circulatory system diseases;Interventional;Indomain;Train
5;10379633;Efficacy and tolerability of moexipril and nitrendipine in postmenopausal women with hypertension. MADAM study group. Moexipril as Antihypertensive Drug After Menopause.;Objective. The aim of this study was to compare the efficacy and tolerability of the new angiotensin-converting enzyme (ACE) inhibitor moexipril and the calcium antagonist nitrendipine in postmenopausal women with mild to moderate hypertension. Methods. After a 4-week placebo run-in period, 93 postmenopausal women (age range 44-70 years) with primary hypertension were randomized to receive moexipril 15 mg once daily or nitrendipine 20 mg once daily for 8 weeks. The mean sitting systolic (SSBP) and sitting diastolic blood pressures (SDBP) at baseline were 161.3/103.0 mmHg in the moexipril group, and 162.2/102.3 mmHg in the nitrendipine group. Results. After the 8 weeks of treatment, the SSBP/SDBP reductions were -21.2/-15.2 mmHg in the moexipril group and -18.2/-13.6 mmHg in the nitrendipine group. Blood pressure responses were adequate in 82.2% of the moexipril-treated patients and in 80.9% in the nitrendipine-treated group. Adverse events were more frequent with nitrendipine than with moexipril. The most common adverse events in the nitrendipine group were headache (23.4%), flushing (21.3%) and ankle oedema (14.9%). In the moexipril group the most common adverse event was cough (8.9%). Conclusion. The results of the study suggest that moexipril and nitrendipine are equieffective in the given dosages. In the patient population of postmenopausal women, the ACE inhibitor moexipril appears to have an advantage over the calcium antagonist nitrendipine with regard to tolerability.;Circulatory system diseases;Interventional;Indomain;Train
6;10714728;Effects of controlled-release metoprolol on total mortality, hospitalizations, and well-being in patients with heart failure: the Metoprolol CR/XL Randomized Intervention Trial in congestive heart failure (MERIT-HF). MERIT-HF Study Group.;"Context. Results from recent studies on the effects of beta1-blockade in patients with heart failure demonstrated a 34% reduction in total mortality. However, the effect of beta1-blockade on the frequency of hospitalizations, symptoms, and quality of life in patients with heart failure has not been fully explored. Objective. To examine the effects of the beta1-blocker controlled-release/extended-release metoprolol succinate (metoprolol CR/XL) on mortality, hospitalization, symptoms, and quality of life in patients with heart failure. Design. Randomized, double-blind controlled trial, preceded by a 2-week single-blind placebo run-in period, conducted from February 14, 1997, to October 31, 1998, with a mean follow-up of 1 year. Setting. Three hundred thirteen sites in 14 countries. Participants. Patients (n = 3991) with chronic heart failure, New York Heart Association (NYHA) functional class II to IV, and ejection fraction of 0.40 or less who were stabilized with optimum standard therapy. Interventions. Patients were randomized to metoprolol CR/XL, 25 mg once per day (NYHA class II), or 12.5 mg once per day (NYHA class III or IV), titrated for 6 to 8 weeks up to a target dosage of 200 mg once per day (n = 1990); or matching placebo (n = 2001). Main outcome measures. Total mortality or any hospitalization (time to first event), number of hospitalizations for worsening heart failure, and change in NYHA class, by intervention group; quality of life was assessed in a substudy of 741 patients. Results. The incidence of all predefined end points was lower in the metoprolol CR/XL group than in the placebo group, including total mortality or all-cause hospitalizations (the prespecified second primary end point; 641 vs 767 events; risk reduction, 19%; 95% confidence interval [CI], 10%-27%; P<.001); total mortality or hospitalizations due to worsening heart failure (311 vs 439 events; risk reduction, 31%; 95% CI, 20%-40%; P<.001), number of hospitalizations due to worsening heart failure (317 vs 451; P<.001); and number of days in hospital due to worsening heart failure (3401 vs 5303 days; P<.001). NYHA functional class, assessed by physicians, and McMaster Overall Treatment Evaluation score, assessed by patients, both improved in the metoprolol CR/XL group compared with the placebo group (P = .003 and P = .009, respectively). Conclusions. In this study of patients with symptomatic heartfailure, metoprolol CR/XL improved survival, reduced the need for hospitalizations due to worsening heart failure, improved NYHA functional class, and had beneficial effects on patient well-being.";Circulatory system diseases;Interventional;Indomain;Train
7;11002953;The misoprostol third stage of labour study: a randomised controlled comparison between orally administered misoprostol and standard management.;"Objective. To compare misoprostol with standard oxytocic regimens in the prevention of postpartum haemorrhage. Design. Randomised controlled trial. Setting. Obstetric unit in a large teaching hospital. Methods. One thousand women randomised to 500 microg misoprostol given orally or to standard oxytocic regimens of oxytocin, oxytocin with ergometrine, or ergometrine. Main outcome measures. Incidence of postpartum haemorrhage and the incidence and severity of side effects. Results. Postpartum haemorrhage occurred in 12% of women given misoprostol and in 11% of women given standard oxytocic drugs (relative risk (RR) 1.10, 95% confidence interval (CI) 0.79, 1.55). Blood loss of 1000 mL or more occurred in 2% of women in each group. Nausea, headache, dizziness and tiredness were less frequent with misoprostol (RR (95% CI) 0.71 (0.59, 0.84); 0.53 (0.38, 0.74); 0.73 (0.61, 0.87) and 0.88 (0.83, 0.94) respectively). The main side effects of misoprostol were shivering (RR 1.95, 95% CI 1.69, 2.25) and a rise in temperature (difference in mean rise 0.34 degrees C, 95% CI 0.26, 0.42). Conclusion. Oral misoprostol for the prevention of postpartum haemorrhage was comparable to standard oxytocics. Many side effects were less common with misoprostol but shivering and pyrexia were more common. Larger randomised trials are needed before establishing the equivalence between misoprostol and standard oxytocic drugs in the prevention of postpartum haemorrhage.";Circulatory system diseases;Interventional;Indomain;Train
8;11589932;Randomised trial of a perindopril-based blood-pressure-lowering regimen among 6,105 individuals with previous stroke or transient ischaemic attack.;Background. Blood pressure is a determinant of the risk of stroke among both hypertensive and non-hypertensive individuals with cerebrovascular disease. However, there is uncertainty about the efficacy and safety of blood-pressure-lowering treatments for many such patients. The perindopril protection against recurrent stroke study (PROGRESS) was designed to determine the effects of a blood-pressure-lowering regimen in hypertensive and non-hypertensive patients with a history of stroke or transient ischaemic attack. Methods. 6105 individuals from 172 centres in Asia, Australasia, and Europe were randomly assigned active treatment (n=3051) or placebo (n=3054). Active treatment comprised a flexible regimen based on the angiotensin- converting-enzyme inhibitor perindopril (4 mg daily), with the addition of the diuretic indapamide at the discretion of treating physicians. The primary outcome was total stroke (fatal or non-fatal). Analysis was by intention to treat. Findings. Over 4 years of follow up, active treatment reduced blood pressure by 9/4 mm Hg. 307 (10%) individuals assigned active treatment suffered a stroke, compared with 420 (14%) assigned placebo (relative risk reduction 28% [95% CI 17-38], p<0.0001). Active treatment also reduced the risk of total major vascular events (26% [16-34]). There were similar reductions in the risk of stroke in hypertensive and non-hypertensive subgroups (all p<0.01). Combination therapy with perindopril plus indapamide reduced blood pressure by 12/5 mm Hg and stroke risk by 43% (30-54). Single-drug therapy reduced blood pressure by 5/3 mm Hg and produced no discernable reduction in the risk of stroke. Interpretation. This blood-pressure-lowering regimen reduced the risk of stroke among both hypertensive and non-hypertensive individuals with a history of stroke or transient ischaemic attack. Combination therapy with perindopril and indapamide produced larger blood pressure reductions and larger risk reductions than did single drug therapy with perindopril alone. Treatment with these two agents should now be considered routinely for patients with a history of stroke or transient ischaemic attack, irrespective of their blood pressure.;Circulatory system diseases;Interventional;Indomain;Train
9;12457784;Pravastatin in elderly individuals at risk of vascular disease (PROSPER): a randomised controlled trial.;"Background. Although statins reduce coronary and cerebrovascular morbidity and mortality in middle-aged individuals, their efficacy and safety in elderly people is not fully established. Our aim was to test the benefits of pravastatin treatment in an elderly cohort of men and women with, or at high risk of developing, cardiovascular disease and stroke. Methods. We did a randomised controlled trial in which we assigned 5804 men (n=2804) and women (n=3000) aged 70-82 years with a history of, or risk factors for, vascular disease to pravastatin (40 mg per day; n=2891) or placebo (n=2913). Baseline cholesterol concentrations ranged from 4.0 mmol/L to 9.0 mmol/L. Follow-up was 3.2 years on average and our primary endpoint was a composite of coronary death, non-fatal myocardial infarction, and fatal or non-fatal stroke. Analysis was by intention-to-treat. Findings. Pravastatin lowered LDL cholesterol concentrations by 34% and reduced the incidence of the primary endpoint to 408 events compared with 473 on placebo (hazard ratio 0.85, 95% CI 0.74-0.97, p=0.014). Coronary heart disease death and non-fatal myocardial infarction risk was also reduced (0.81, 0.69-0.94, p=0.006). Stroke risk was unaffected (1.03, 0.81-1.31, p=0.8), but the hazard ratio for transient ischaemic attack was 0.75 (0.55-1.00, p=0.051). New cancer diagnoses were more frequent on pravastatin than on placebo (1.25, 1.04-1.51, p=0.020). However, incorporation of this finding in a meta-analysis of all pravastatin and all statin trials showed no overall increase in risk. Mortality from coronary disease fell by 24% (p=0.043) in the pravastatin group. Pravastatin had no significant effect on cognitive function or disability. Interpretation. Pravastatin given for 3 years reduced the risk of coronary disease in elderly individuals. PROSPER therefore extends to elderly individuals the treatment strategy currently used in middle aged people.";Circulatory system diseases;Interventional;Indomain;Test
